Drug_A,Drug_B,Side_Effect,Severity_Score,Severity
Acetaminophen,regadenoson,Anaemia,3.33333,Moderate
Citalopram,Omega-3 Fatty Acids,Anaemia,3.33333,Moderate
eletriptan,Atenolol,Dizziness,3.0,Moderate
Levetiracetam,Scopolamine,Anaemia,3.33333,Moderate
peginterferon alfa-2a,deferasirox,Anaemia,10.0,Major
Losartan,Ramipril,Anaemia,3.46939,Moderate
oxybutynin,loxoprofen,Pancytopenia,10.0,Major
metaxalone,denosumab,Dyspnoea,1.66667,Minor
Sodium polystyrene sulfonate,tianeptine,Vomiting,5.0,Major
Imipramine,Bupropion,Anaemia,1.0,Minor
Diflunisal,"Estrogens, Conjugated (USP)",Sinus tachycardia,10.0,Major
Lipase,Atenolol,Anaemia,3.63636,Moderate
trandolapril,Glucosamine,Dizziness,3.33333,Moderate
Oxycodone,Omeprazole,Iron deficiency anaemia,8.42105,Major
Ondansetron,Glatiramer,Dizziness,1.66667,Minor
Isosorbide,meloxicam,Anaemia,1.92308,Minor
loxoprofen,Tocopherol,Lymphadenopathy,10.0,Major
Terbutaline,lercanidipine,Dizziness,3.33333,Moderate
Glucose,Dimethindene,Dyspnoea,2.5,Moderate
Ticagrelor,Amikacin,Pancytopenia,10.0,Major
Ribavirin,alogliptin,Anaemia,33.3333,Major
Propoxyphene,Butorphanol,Anaemia,1.11111,Minor
Pindolol,tamsulosin,Anaemia,3.33333,Moderate
Calcium Carbonate,Furosemide,Iron deficiency anaemia,3.80952,Moderate
Hydrocortisone,Methocarbamol,Anaemia,5.0,Major
Clonidine,Lithium Carbonate,Anaemia,1.42857,Minor
brimonidine,Clindamycin,Anaemia,3.33333,Moderate
Aztreonam,Etoposide,Pancytopenia,20.0,Major
trichloroacetaldehyde,Dexamethasone,Neutropenia,10.0,Major
Cortisone,Indomethacin,Asthenia,5.0,Major
Clonidine,rilmenidine,Dyspnoea,1.66667,Minor
Calcium Carbonate,Prednisone,Iron deficiency anaemia,3.04348,Moderate
Doxercalciferol,Epoetin Alfa,Anaemia,1.36364,Minor
Lutein,Ondansetron,Anaemia,6.66667,Major
Pseudoephedrine,Ribavirin,Anaemia,25.0,Major
Bupropion,Gadopentetate Dimeglumine,Dizziness,2.0,Moderate
tamsulosin,Azathioprine,Anaemia,2.22222,Moderate
tofacitinib,Atenolol,Dizziness,0.769231,Minor
Furosemide,Lisdexamfetamine,Cardiac arrest,10.0,Major
"insulin, isophane",gatifloxacin,Anaemia,3.33333,Moderate
Hyoscyamine,Potassium,Anaemia,3.33333,Moderate
Dextromethorphan,Mefenamate,Dizziness,5.0,Major
Midazolam,Acebutolol,Tachycardia,10.0,Major
Isosorbide Dinitrate,ambrisentan,Bradycardia,10.0,Major
Vitamin A,Iron,Iron deficiency anaemia,2.5,Moderate
Mometasone,mesalamine,Lymphopenia,10.0,Major
Vecuronium,Lidocaine,Anaemia,1.15385,Minor
Buprenorphine,ziconotide,Dizziness,1.66667,Minor
armodafinil,rizatriptan,Dyspnoea,2.22222,Moderate
Doxazosin,Magnesium Sulfate,Anaemia,5.0,Major
salmeterol,Zinc Sulfate,Dizziness,3.33333,Moderate
Nortriptyline,Paroxetine,Anaemia,2.0,Moderate
irinotecan,cetuximab,Anaemia,2.53425,Moderate
Dextromethorphan,Isosorbide,Oedema peripheral,2.5,Moderate
Glucose,alfuzosin,Diarrhoea,3.33333,Moderate
oxybutynin,levothyroxine,Iron deficiency anaemia,1.11111,Minor
telaprevir,Urea,Anaemia,13.3333,Major
brimonidine,denosumab,Bradycardia,3.33333,Moderate
Dapsone,voriconazole,Anaemia,1.25,Minor
donepezil,Mirtazapine,Anaemia,1.35135,Minor
saxagliptin,Mirtazapine,Dizziness,3.33333,Moderate
Famotidine,"Insulin, Aspart, Human",Anaemia,4.0,Moderate
Prochlorperazine,Methotrexate,Anaemia,4.4,Moderate
valsartan,standardized senna concentrate,Anaemia,1.25,Minor
Lisinopril,Hydroxyzine,Anaemia,3.66412,Moderate
Phenytoin,gabapentin,Iron deficiency anaemia,2.85714,Moderate
Nicardipine,Lipase,Diarrhoea,2.5,Moderate
dexlansoprazole,formoterol,Anaemia,1.0,Minor
meloxicam,dimethyl fumarate,Anaemia,1.0,Minor
repaglinide,Lithium Carbonate,Anaemia,3.33333,Moderate
Cephalexin,Omega-3 Fatty Acids,Anaemia,10.0,Major
Bendroflumethiazide,Omeprazole,Anaemia,0.465116,Minor
candesartan,Probenecid,Anaemia,3.33333,Moderate
Phenylephrine,nepafenac,Dyspnoea,1.66667,Minor
tizanidine,Alprazolam,Anaemia,1.89189,Minor
Estradiol,leflunomide,Anaemia,0.769231,Minor
Levodopa,Rotigotine,Anaemia,0.754717,Minor
abacavir,Sertraline,Anaemia,5.0,Major
Ephedrine,"Regular Insulin, Human",Chest pain,3.33333,Moderate
Imipenem,Amikacin,Anaemia,0.909091,Minor
Ethinyl Estradiol,Etonogestrel,Anaemia,1.66667,Minor
Hydrochlorothiazide,regorafenib,Anaemia,3.33333,Moderate
Prednisone,olopatadine,Iron deficiency anaemia,10.0,Major
Hydrochlorothiazide,Propofol,Iron deficiency anaemia,10.0,Major
doxorubicin liposome,venlafaxine,Anaemia,13.3333,Major
Metformin,nimesulide,Anaemia,1.42857,Minor
Budesonide,Cyproheptadine,Anaemia,10.0,Major
Doxorubicin,Methotrexate,Iron deficiency anaemia,1.66667,Minor
chondroitin sulfate (chicken),Pravastatin,Malaise,3.33333,Moderate
atorvastatin,Glucosamine,Anaemia,1.78082,Minor
Triazolam,Flurazepam,Dizziness,1.42857,Minor
Clotrimazole,Methotrexate,Anaemia,1.0,Minor
Leuprolide,Amiodarone,Anaemia,4.0,Moderate
Niacin,Probenecid,Dizziness,1.66667,Minor
dronabinol,Propranolol,Anaemia,3.33333,Moderate
Factor VIII,factor IX,Leukaemia,2.0,Moderate
Tetrabenazine,Beclomethasone,Vomiting,3.33333,Moderate
Spironolactone,Codeine,Anaemia,3.54167,Moderate
olanzapine,Phenobarbital,Anaemia,1.42857,Minor
heparin,sevoflurane,Anaemia,1.0,Minor
aliskiren,celecoxib,Anaemia,2.5,Moderate
Esomeprazole,Testosterone,Anaemia,1.66667,Minor
Norethindrone,Sertraline,Anaemia,0.909091,Minor
Cyclosporine,cefepime,Anaemia,3.18182,Moderate
Sulfasalazine,Diazepam,Anaemia,0.833333,Minor
Mefenamate,Bisoprolol,Anaemia,10.0,Major
Clozapine,Carbamazepine,Anaemia,0.909091,Minor
Budesonide,Clavulanate,Anaemia,1.76471,Minor
fluticasone,"Regular Insulin, Human",Anaemia,1.42857,Minor
Sucralfate,Linagliptin,Anaemia,2.5,Moderate
Tramadol,Mupirocin,Anaemia,1.42857,Minor
Raloxifene,tiotropium,Anaemia,0.666667,Minor
Chlorpheniramine,Trazodone,Anaemia,3.33333,Moderate
Doxazosin,pregabalin,Anaemia,1.92308,Minor
Cisplatin,Methotrexate,Anaemia,3.1,Moderate
Thiamine,Indomethacin,Anaemia,5.0,Major
efavirenz,gabapentin,Anaemia,1.42857,Minor
Ipratropium,Vitamin K,Anaemia,5.0,Major
Furosemide,dronedarone,Iron deficiency anaemia,3.33333,Moderate
Felodipine,Fluconazole,Anaemia,5.0,Major
Gemtuzumab ozogamicin,Metformin,Anaemia,5.0,Major
formoterol,lenalidomide,Anaemia,4.52381,Moderate
valsartan,racecadotril,Drug rash with eosinophilia and systemic symptoms,10.0,Major
Immunoglobulin G,Methocarbamol,Dizziness,2.0,Moderate
Perindopril,Trimethoprim,Anaemia,3.0,Moderate
Bromocriptine,Vitamin D,Anaemia,3.33333,Moderate
ropinirole,Chondroitin Sulfates,Anaemia,3.33333,Moderate
Selegiline,zopiclone,Anaemia,6.66667,Major
Potassium,glimepiride,Anaemia,4.48276,Moderate
dichloralphenazone,Amitriptyline,Anaemia,2.5,Moderate
Ferrous fumarate,tamsulosin,Anaemia,8.0,Major
Diclofenac,Baclofen,Anaemia,1.15385,Minor
zopiclone,Nifedipine,Anaemia,5.625,Major
clorazepate,Lorazepam,Anaemia,3.63636,Moderate
Midazolam,Halothane,Tachycardia,10.0,Major
repaglinide,Indapamide,Anaemia,2.0,Moderate
Lovastatin,Acetaminophen,Iron deficiency anaemia,3.33333,Moderate
Clotrimazole,Mycophenolic Acid,Anaemia,10.0,Major
Chlormadinone,levothyroxine,Diarrhoea,3.33333,Moderate
calcium acetate,Lactulose,Anaemia,7.5,Major
Amlodipine,Pergolide,Dyspnoea,1.66667,Minor
Nystatin,Mirtazapine,Anaemia,3.84615,Moderate
Triptorelin,Ramipril,Anaemia,3.33333,Moderate
Chlorpheniramine,Simvastatin,Iron deficiency anaemia,20.0,Major
Acenocoumarol,Tamoxifen,Asthenia,2.5,Moderate
Meprobamate,Indapamide,Diarrhoea,2.0,Moderate
cyclobenzaprine,Somatropin,Dizziness,3.33333,Moderate
Dexmedetomidine,Methylprednisolone,Pancytopenia,10.0,Major
Warfarin,Teriparatide,Iron deficiency anaemia,1.66667,Minor
Topotecan,panitumumab,Disseminated intravascular coagulation,10.0,Major
Ciprofloxacin,Tropicamide,Dyspnoea,1.66667,Minor
crizotinib,Alfacalcidol,Death,1.42857,Minor
Zuclopenthixol,Chlorprothixene,Anaemia,3.33333,Moderate
Loratadine,Magnesium Aspartate,Anaemia,5.0,Major
Propoxyphene,rizatriptan,Anaemia,1.66667,Minor
Captopril,Metolazone,Anaemia,30.0,Major
Epinephrine,Doxycycline,Anaemia,1.42857,Minor
desloratadine,Beclomethasone,Anaemia,1.25,Minor
arbekacin,linezolid,Anaemia,5.0,Major
Cytarabine,gemcitabine,Anaemia,3.33333,Moderate
valacyclovir,Benzydamine,Diarrhoea,2.5,Moderate
Nicorandil,meloxicam,Anaemia,6.66667,Major
mecobalamin,terbinafine,Pancytopenia,20.0,Major
loteprednol etabonate,Dexamethasone,Dizziness,3.0,Moderate
Calcium Carbonate,bicalutamide,Anaemia,1.42857,Minor
Botulinum Toxin Type A,Dantrolene,Anaemia,2.5,Moderate
Famotidine,Procaterol,Nausea,1.42857,Minor
Neostigmine,Escitalopram,Anaemia,5.0,Major
Epinephrine,Fluoxetine,Disseminated intravascular coagulation,3.33333,Moderate
Teicoplanin,Ceftazidime,Anaemia,1.73913,Minor
Nicorandil,terbinafine,Anaemia,5.0,Major
Amoxicillin,Allopurinol,Iron deficiency anaemia,3.33333,Moderate
candesartan,remifentanil,Atrial fibrillation,5.0,Major
Sulfamethoxazole,Dacarbazine,Pancytopenia,20.0,Major
Diclofenac,Betamethasone,Anaemia,3.11111,Moderate
Niacin,dimethyl fumarate,Dizziness,1.25,Minor
Epoetin Alfa,eltrombopag,Anaemia,3.33333,Moderate
topiramate,everolimus,Dizziness,1.25,Minor
Atropine,Furosemide,Anaemia,5.0,Major
Famotidine,Afatinib,Anaemia,5.0,Major
Citalopram,clobazam,Bone marrow failure,10.0,Major
fingolimod,Zinc,Dizziness,10.0,Major
lanthanum carbonate,Verapamil,Anaemia,10.0,Major
fluindione,Calcifediol,Anaemia,5.0,Major
Guaifenesin,Escitalopram,Iron deficiency anaemia,5.0,Major
Loratadine,Neomycin,Syncope,3.33333,Moderate
Folic Acid,remifentanil,Dyspnoea,2.5,Moderate
salmeterol,Somatropin,Anaemia,4.0,Moderate
paliperidone,Lisdexamfetamine,Dyspnoea,1.25,Minor
Leuprolide,pregabalin,Anaemia,2.72727,Moderate
Mometasone,azelastine,Anaemia,1.86047,Minor
valsartan,Desvenlafaxine,Anaemia,0.769231,Minor
golimumab,levothyroxine,Pancytopenia,1.66667,Minor
insulin detemir,Methotrexate,Anaemia,1.25,Minor
Furosemide,"Estrogens, Esterified (USP)",Anaemia,2.0,Moderate
Acarbose,Lorazepam,Atrioventricular block first degree,10.0,Major
Risedronate,estropipate,Anaemia,3.33333,Moderate
Pseudoephedrine,Beclomethasone,Anaemia,1.66667,Minor
Indapamide,boceprevir,Anaemia,15.0,Major
Levodopa,alfuzosin,Thrombocytopenia,10.0,Major
Dalteparin,lansoprazole,Anaemia,4.4,Moderate
Simvastatin,sildenafil,Iron deficiency anaemia,1.42857,Minor
Amiloride,Sodium Oxybate,Dyspnoea,0.909091,Minor
insulin detemir,Clonazepam,Anaemia,1.81818,Minor
formoterol,Phenytoin,Anaemia,1.42857,Minor
Vitamin D,teriflunomide,Anaemia,0.5,Minor
Calcium Carbonate,ustekinumab,Dizziness,1.66667,Minor
Bupivacaine,Fentanyl,Anaemia,0.625,Minor
clorazepate,Beclomethasone,Anaemia,3.33333,Moderate
Enalapril,Aztreonam,Oedema peripheral,10.0,Major
perampanel,gabapentin,Nausea,1.25,Minor
infliximab,Haloperidol,Dizziness,3.33333,Moderate
vinorelbine,Carbocysteine,Dyspnoea,1.42857,Minor
pazopanib,Temazepam,Anaemia,3.33333,Moderate
duloxetine,Escitalopram,Anaemia,1.0303,Minor
Domperidone,Benzydamine,Anaemia,3.33333,Moderate
Beclomethasone,adalimumab,Anaemia,1.33333,Minor
potassium citrate,Isosorbide Dinitrate,Dyspnoea,1.42857,Minor
pramoxine,Ondansetron,Anaemia,6.66667,Major
Sumatriptan,prednisolone,Anaemia,1.66667,Minor
Methylergonovine,Oxytocin,Anaemia,2.0,Moderate
Citalopram,Dipyrone,Anaemia,1.25,Minor
Polyethylene Glycol 400,Morphine,Death,2.0,Moderate
Metformin,ustekinumab,Anaemia,0.909091,Minor
Biperiden,levothyroxine,Anaemia,2.5,Moderate
Minocycline,Amoxicillin,Anaemia,4.0,Moderate
Furosemide,Granisetron,Iron deficiency anaemia,1.11111,Minor
duloxetine,dasatinib,Anaemia,6.66667,Major
Erythromycin,Clonazepam,Anaemia,3.33333,Moderate
Valproate,Atenolol,Iron deficiency anaemia,2.0,Moderate
Magnesium Sulfate,Ganciclovir,Thrombocytopenia,10.0,Major
Oxycodone,Metoclopramide,Iron deficiency anaemia,3.33333,Moderate
Glipizide,Aprotinin,Bradycardia,2.0,Moderate
valsartan,Vitamin D,Iron deficiency anaemia,1.25,Minor
Domperidone,Valproate,Anaemia,3.33333,Moderate
Vitamin D,Isradipine,Anaemia,5.0,Major
Isosorbide Dinitrate,Neomycin,Pancytopenia,10.0,Major
salmeterol,mesalamine,Anaemia,4.70588,Moderate
Oxycodone,ropinirole,Iron deficiency anaemia,1.66667,Minor
rosuvastatin,Dicyclomine,Anaemia,2.0,Moderate
Floxacillin,adalimumab,Diarrhoea,2.5,Moderate
Oxymorphone,Prednisone,Anaemia,5.0,Major
Cyclosporine,Pilocarpine,Anaemia,2.5,Moderate
zotepine,Flunitrazepam,Anaemia,1.25,Minor
Atenolol,Mupirocin,Anaemia,4.28571,Moderate
zolmitriptan,Metoprolol,Anaemia,1.66667,Minor
Sulfasalazine,Pseudoephedrine,Dyspnoea,1.0,Minor
rosiglitazone,Indomethacin,Anaemia,1.42857,Minor
Medroxyprogesterone,Amiloride,Dyspnoea,10.0,Major
Neostigmine,Cisatracurium,Anaemia,5.0,Major
Sulfamethoxazole,desloratadine,Anaemia,5.71429,Major
Docusate,sorafenib,Anaemia,10.0,Major
Methotrexate,sitagliptin,Anaemia,0.967742,Minor
Pristinamycin,Fentanyl,Pyrexia,3.33333,Moderate
varenicline,Meclizine,Anaemia,1.25,Minor
rivastigmine,Lithium Carbonate,Dyspnoea,1.42857,Minor
tocilizumab,Amitriptyline,Anaemia,1.25,Minor
donepezil,dronedarone,Bradycardia,40.0,Major
Ceftriaxone,nimesulide,Anaemia,3.33333,Moderate
Vitamin B 12,pamidronate,Anaemia,30.0,Major
dimethicone,carvedilol,Dyspnoea,1.25,Minor
Docusate,ponatinib,Anaemia,2.5,Moderate
Acetaminophen,acemetacin,Anaemia,20.0,Major
glimepiride,mesalamine,Anaemia,1.11111,Minor
Magnesium Chloride,Carbachol,Dizziness,1.42857,Minor
Warfarin,Progesterone,Anaemia,6.66667,Major
bevacizumab,Paroxetine,Iron deficiency anaemia,3.33333,Moderate
zoledronic acid,benzonatate,Anaemia,17.5,Major
Ethinyl Estradiol,Methadone,Anaemia,4.0,Moderate
Cyclizine,sevelamer,Nausea,5.0,Major
Zidovudine,gabapentin,Anaemia,3.75,Moderate
butalbital,Fluorouracil,Anaemia,5.0,Major
Doxazosin,lercanidipine,Anaemia,0.833333,Minor
Calcium Carbonate,Lorazepam,Iron deficiency anaemia,2.85714,Moderate
olmesartan,Pravastatin,Iron deficiency anaemia,2.5,Moderate
fluindione,rituximab,Anaemia,0.833333,Minor
valsartan,Terazosin,Anaemia,3.2,Moderate
Escitalopram,zopiclone,Anaemia,1.18421,Minor
Lisinopril,Carteolol,Dyspnoea,1.66667,Minor
Docusate,Camphor,Anaemia,3.33333,Moderate
zopiclone,Progesterone,Dizziness,3.33333,Moderate
Minocycline,ropinirole,Dyspnoea,1.42857,Minor
Simvastatin,Tranylcypromine,Dizziness,10.0,Major
Epinephrine,Bupropion,Anaemia,2.85714,Moderate
fluticasone,efalizumab,Thrombocytopenia,10.0,Major
Levodopa,Propranolol,Anaemia,2.5,Moderate
mecobalamin,Acyclovir,Anaemia,7.0,Major
Loperamide,Methylcellulose,Hiatus hernia,10.0,Major
atorvastatin,pomalidomide,Anaemia,3.75,Moderate
Prednisone,Acyclovir,Iron deficiency anaemia,1.11111,Minor
Levodopa,Desvenlafaxine,Dizziness,2.5,Moderate
Ethinyl Estradiol,Ampicillin,Anaemia,1.66667,Minor
interferon beta-1b,pantoprazole,Anaemia,4.28571,Moderate
Hydrocodone,Naproxen,Iron deficiency anaemia,3.75,Moderate
Ribavirin,Rifampin,Sinus tachycardia,10.0,Major
benazepril,Ofloxacin,Dizziness,5.0,Major
Finasteride,Nefopam,Malaise,1.11111,Minor
Chlorpheniramine,peginterferon alfa-2a,Dyspnoea,1.66667,Minor
Cefazolin,Rocuronium,Anaemia,1.6,Minor
lamotrigine,Trimeprazine,Leukopenia,5.0,Major
coenzyme Q10,calcium polycarbophil,Jaundice,10.0,Major
Panthenol,Dexamethasone,Jaundice,10.0,Major
Diazepam,Carbocysteine,Anaemia,1.11111,Minor
Levetiracetam,Calcium Gluconate,Dyspnoea,1.25,Minor
Ethinyl Estradiol,Theophylline,Dizziness,1.66667,Minor
clobazam,Somatropin,Diarrhoea,3.33333,Moderate
Cortisone,Methylprednisolone,Anaemia,0.909091,Minor
temozolomide,Dipyrone,Anaemia,3.33333,Moderate
Risperidone,rivaroxaban,Anaemia,3.33333,Moderate
Metformin,Labetalol,Anaemia,1.11111,Minor
Famotidine,Vitamin A,Anaemia,3.7037,Moderate
POLYETHYLENE GLYCOL 3350,pantoprazole,Myocarditis,2.5,Moderate
Warfarin,panitumumab,Anaemia,1.66667,Minor
Methylprednisolone,clofarabine,Anaemia,4.0,Moderate
salmon calcitonin,adalimumab,Anaemia,3.33333,Moderate
certolizumab pegol,Cephalexin,Dyspnoea,1.66667,Minor
Nicorandil,linezolid,Pancytopenia,20.0,Major
Pentamidine,Itraconazole,Anaemia,4.0,Moderate
cabergoline,levothyroxine,Anaemia,0.344828,Minor
Vitamin A,Pancrelipase,Dizziness,3.33333,Moderate
Cyclophosphamide,trastuzumab,Iron deficiency anaemia,1.66667,Minor
Pentoxifylline,cetuximab,Syncope,2.5,Moderate
Hydrocortisone,peginterferon alfa-2b,Anaemia,12.0,Major
Imipramine,Primidone,Atrial fibrillation,5.0,Major
Imipramine,Trazodone,Anaemia,2.72727,Moderate
salmeterol,palonosetron,Anaemia,6.66667,Major
bortezomib,Baclofen,Anaemia,2.5,Moderate
Acebutolol,Valproate,Disseminated intravascular coagulation,20.0,Major
fluticasone,fluvastatin,Anaemia,3.0,Moderate
Haloperidol,Bromazepam,Anaemia,2.30769,Moderate
Omega-3 Fatty Acids,adalimumab,Anaemia,1.03448,Minor
Enalapril,Methimazole,Anaemia,35.0,Major
montelukast,olopatadine,Anaemia,1.03448,Minor
Estradiol,oxcarbazepine,Anaemia,1.42857,Minor
Methotrexate,standardized senna concentrate,Anaemia,1.53846,Minor
moxonidine,Beclomethasone,Anaemia,3.33333,Moderate
Povidone-Iodine,moxifloxacin,Anaemia,1.25,Minor
Cyclophosphamide,Mycophenolic Acid,Anaemia,5.0,Major
Rabbit anti-human T-lymphocyte globulin,doripenem,Anaemia,1.25,Minor
Glyburide,Domperidone,Anaemia,2.5,Moderate
Epinephrine,Milrinone,Anaemia,1.05263,Minor
olanzapine,Sulpiride,Anaemia,0.909091,Minor
Paclitaxel,dexchlorpheniramine,Anaemia,0.606061,Minor
Folic Acid,Triamterene,Anaemia,3.84615,Moderate
gadodiamide,Calcitriol,Anaemia,2.85714,Moderate
moxifloxacin,Dapsone,Anaemia,30.0,Major
Dextromethorphan,Fluorouracil,Anaemia,3.33333,Moderate
Cisapride,Pravastatin,Myocardial infarction,10.0,Major
Doxazosin,brinzolamide,Anaemia,3.33333,Moderate
montelukast,tiotropium,Iron deficiency anaemia,4.61538,Moderate
Colchicine,Bupropion,Anaemia,1.11111,Minor
oxcarbazepine,montelukast,Anaemia,0.714286,Minor
Meclizine,Interferon beta-1a,Anaemia,1.57895,Minor
Ergocalciferol,Cod Liver Oil,Dyspnoea,1.25,Minor
topiramate,eletriptan,Anaemia,0.8,Minor
raltegravir,Valproate,Anaemia,8.0,Major
rizatriptan,Domperidone,Dyspnoea,1.66667,Minor
Metformin,posaconazole,Chest pain,3.33333,Moderate
ertapenem,Alprazolam,Anaemia,3.33333,Moderate
ropinirole,Water,Dizziness,6.66667,Major
Lovastatin,Imipramine,Anaemia,5.0,Major
Risperidone,Fenoterol,Anaemia,5.0,Major
Nicardipine,Dexamethasone,Anaemia,1.0,Minor
belimumab,Hydroxychloroquine,Anaemia,0.571429,Minor
latanoprost,Magnesium Sulfate,Anaemia,5.0,Major
metaproterenol,Codeine,Anaemia,10.0,Major
Linseed Oil,sitagliptin,Dizziness,2.5,Moderate
Piperacillin,Captopril,Anaemia,15.0,Major
Fluoxetine,Temazepam,Iron deficiency anaemia,5.0,Major
Amlodipine,lanthanum carbonate,Iron deficiency anaemia,10.0,Major
varenicline,Atenolol,Anaemia,0.333333,Minor
Hydrocortisone,imatinib,Anaemia,3.0,Moderate
colesevelam,Methotrexate,Anaemia,2.0,Moderate
Dalteparin,everolimus,Anaemia,3.33333,Moderate
Levodopa,Fentanyl,Anaemia,3.84615,Moderate
Cholecalciferol,Tilidine,Anaemia,3.33333,Moderate
salmeterol,Triamterene,Anaemia,1.42857,Minor
Enoxaparin,Biperiden,Dyspnoea,1.66667,Minor
Vitamin B Complex,Phenazopyridine,Anaemia,3.33333,Moderate
Folic Acid,gabapentin,Iron deficiency anaemia,1.42857,Minor
aripiprazole,Insulin Lispro,Anaemia,1.25,Minor
Metronidazole,Ibuprofen,Iron deficiency anaemia,7.5,Major
Diphenhydramine,Amitriptyline,Iron deficiency anaemia,15.0,Major
fluticasone,Amphetamine,Dizziness,2.5,Moderate
olanzapine,tegaserod,Cardiac disorder,3.33333,Moderate
Bendroflumethiazide,Trimethoprim,Disseminated intravascular coagulation,5.0,Major
certolizumab pegol,zolpidem,Anaemia,0.769231,Minor
Estradiol,Cyclophosphamide,Iron deficiency anaemia,10.0,Major
zonisamide,Pramipexole,Anaemia,4.0,Moderate
Morphine,Methylprednisolone,Iron deficiency anaemia,1.66667,Minor
darunavir,cobicistat,Dyspnoea,1.25,Minor
Tobramycin,Doxorubicin,Anaemia,5.0,Major
Zuclopenthixol,quetiapine,Anaemia,0.769231,Minor
olanzapine,Bumetanide,Anaemia,20.0,Major
Potassium Acetate,Loratadine,Anaemia,5.0,Major
topiramate,Cyclosporine,Anaemia,1.25,Minor
Albuterol,Doxepin,Anaemia,1.875,Minor
Vitamin E,nebivolol,Anaemia,3.33333,Moderate
valsartan,Thalidomide,Anaemia,12.5,Major
fexofenadine,Omega-3 Acid Ethyl Esters (USP),Anaemia,0.666667,Minor
Azathioprine,belatacept,Anaemia,3.33333,Moderate
Medroxyprogesterone,Chondroitin Sulfates,Petechiae,10.0,Major
Albuterol,Vitamin E,Iron deficiency anaemia,6.66667,Major
lamotrigine,Cetirizine,Iron deficiency anaemia,6.0,Major
Benzocaine,Potassium Chloride,Anaemia,20.0,Major
mecobalamin,standardized senna concentrate,Anaemia,30.0,Major
zoledronic acid,Chlordiazepoxide,Anaemia,10.0,Major
Macitentan,sildenafil,Anaemia,1.90476,Minor
Piperacillin,voriconazole,Anaemia,2.36842,Moderate
dexlansoprazole,Omeprazole,Anaemia,1.42857,Minor
Vitamin D,Oxytocin,Anaemia,2.5,Moderate
Ribavirin,lansoprazole,Iron deficiency anaemia,3.33333,Moderate
Losartan,vardenafil,Anaemia,2.5,Moderate
Cyclophosphamide,Etoposide,Iron deficiency anaemia,1.93548,Minor
zolmitriptan,Propranolol,Anaemia,1.11111,Minor
Etoposide,Thalidomide,Anaemia,3.63636,Moderate
Metformin,ambrisentan,Anaemia,2.90909,Moderate
Albuterol,Lisdexamfetamine,Anaemia,1.42857,Minor
alemtuzumab,posaconazole,Non-Hodgkin's lymphoma,10.0,Major
Magnesium,darbepoetin alfa,Anaemia,10.0,Major
Pseudoephedrine,interferon beta-1b,Anaemia,3.33333,Moderate
Metolazone,placebo,Anaemia,3.33333,Moderate
Etanercept,aripiprazole,Anaemia,1.42857,Minor
Sulfamethoxazole,montelukast,Anaemia,3.75,Moderate
Diphenhydramine,frovatriptan,Lymphadenopathy,10.0,Major
Indomethacin,carvedilol,Anaemia,3.33333,Moderate
Pseudoephedrine,Omega-3 Fatty Acids,Dizziness,6.66667,Major
panitumumab,Urea,Vomiting,3.33333,Moderate
Epirubicin,Hydroxyzine,Anaemia,15.0,Major
Idarubicin,Amphotericin B,Anaemia,1.66667,Minor
Sufentanil,pregabalin,Bradycardia,10.0,Major
Pyridostigmine,Ciprofloxacin,Anaemia,5.0,Major
Budesonide,zopiclone,Anaemia,4.61538,Moderate
Ranitidine,Copper,Dizziness,3.33333,Moderate
Ethinyl Estradiol,Nadolol,Atrioventricular block second degree,10.0,Major
Losartan,Calcium Citrate,Anaemia,1.81818,Minor
Etanercept,Indomethacin,Anaemia,0.882353,Minor
Budesonide,Oxygen,Anaemia,1.89189,Minor
Buprenorphine,formoterol,Anaemia,2.17391,Moderate
Gliclazide,Nicotine,Dizziness,1.42857,Minor
erlotinib,sildenafil,Tachycardia,10.0,Major
donepezil,benazepril,Anaemia,8.33333,Major
dexlansoprazole,Baclofen,Pancytopenia,3.33333,Moderate
telmisartan,thyroid (USP),Dizziness,6.66667,Major
clobazam,ezogabine,Dizziness,0.769231,Minor
Sulpiride,Valproate,Anaemia,2.5,Moderate
Aspirin,Linseed Oil,Anaemia,1.73077,Minor
Chorionic Gonadotropin,ganirelix,Dizziness,1.57895,Minor
lansoprazole,Trazodone,Iron deficiency anaemia,1.66667,Minor
Albuterol,ranibizumab,Anaemia,0.769231,Minor
Metformin,Flupenthixol,Dyspnoea,1.11111,Minor
Penicillin V,Albuterol,Anaemia,17.5,Major
fingolimod,Progesterone,Lymphadenopathy,10.0,Major
Nitrofurantoin,Ethinyl Estradiol,Anaemia,1.06383,Minor
Caspofungin,Cyclosporine,Anaemia,0.384615,Minor
Desvenlafaxine,Clozapine,Anaemia,3.33333,Moderate
Ondansetron,modafinil,Anaemia,4.16667,Moderate
Hydromorphone,Dicyclomine,Anaemia,1.0,Minor
glimepiride,rivastigmine,Anaemia,1.42857,Minor
Buprenorphine,Dobutamine,Anaemia,10.0,Major
Erythromycin,Clarithromycin,Anaemia,1.42857,Minor
Bumetanide,Calcitriol,Anaemia,3.33333,Moderate
Maltose,Flunitrazepam,Cardiac arrest,10.0,Major
deflazacort,Cyclophosphamide,Lymphadenopathy,10.0,Major
Lactulose,Dothiepin,Dyspnoea,1.11111,Minor
aflibercept,Insulin Glargine,Anaemia,6.66667,Major
